Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 205, Objective: 0.059804dB, Best: 0.059804dB
Iteration 206, Objective: 0.059550dB, Best: 0.059550dB
Iteration 207, Objective: 0.059409dB, Best: 0.059409dB
Iteration 208, Objective: 0.059318dB, Best: 0.059318dB
Iteration 209, Objective: 0.059239dB, Best: 0.059239dB
Iteration 210, Objective: 0.059216dB, Best: 0.059216dB
Iteration 211, Objective: 0.059187dB, Best: 0.059187dB
Iteration 212, Objective: 0.059167dB, Best: 0.059167dB
Iteration 213, Objective: 0.059090dB, Best: 0.059090dB
Iteration 214, Objective: 0.058982dB, Best: 0.058982dB
Iteration 215, Objective: 0.058943dB, Best: 0.058943dB
Iteration 216, Objective: 0.058705dB, Best: 0.058705dB
Iteration 217, Objective: 0.058531dB, Best: 0.058531dB
Iteration 218, Objective: 0.058444dB, Best: 0.058444dB
Iteration 219, Objective: 0.058378dB, Best: 0.058378dB
Iteration 220, Objective: 0.058245dB, Best: 0.058245dB
Iteration 221, Objective: 0.058142dB, Best: 0.058142dB
Iteration 222, Objective: 0.058086dB, Best: 0.058086dB
Iteration 223, Objective: 0.058001dB, Best: 0.058001dB
Iteration 224, Objective: 0.057823dB, Best: 0.057823dB
Iteration 225, Objective: 0.057651dB, Best: 0.057651dB
Iteration 226, Objective: 0.057575dB, Best: 0.057575dB
Iteration 227, Objective: 0.057338dB, Best: 0.057338dB
Iteration 228, Objective: 0.057165dB, Best: 0.057165dB
Iteration 229, Objective: 0.057050dB, Best: 0.057050dB
Iteration 230, Objective: 0.056851dB, Best: 0.056851dB
Iteration 231, Objective: 0.056756dB, Best: 0.056756dB
Iteration 232, Objective: 0.056660dB, Best: 0.056660dB
Iteration 233, Objective: 0.056603dB, Best: 0.056603dB
Iteration 234, Objective: 0.056419dB, Best: 0.056419dB
Iteration 235, Objective: 0.056265dB, Best: 0.056265dB
Iteration 236, Objective: 0.056164dB, Best: 0.056164dB
Iteration 237, Objective: 0.056078dB, Best: 0.056078dB
Iteration 238, Objective: 0.055970dB, Best: 0.055970dB
Iteration 239, Objective: 0.055909dB, Best: 0.055909dB
Iteration 240, Objective: 0.055882dB, Best: 0.055882dB
Iteration 241, Objective: 0.055876dB, Best: 0.055876dB
Iteration 242, Objective: 0.055852dB, Best: 0.055852dB
Iteration 243, Objective: 0.055840dB, Best: 0.055840dB
Iteration 244, Objective: 0.055810dB, Best: 0.055810dB
Iteration 245, Objective: 0.055757dB, Best: 0.055757dB
Iteration 246, Objective: 0.055677dB, Best: 0.055677dB
Iteration 247, Objective: 0.055581dB, Best: 0.055581dB
Iteration 248, Objective: 0.055523dB, Best: 0.055523dB
Iteration 249, Objective: 0.055480dB, Best: 0.055480dB
