Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 186, Objective: 0.049794dB, Best: 0.049794dB
Iteration 187, Objective: 0.049766dB, Best: 0.049766dB
Iteration 188, Objective: 0.049579dB, Best: 0.049579dB
Iteration 189, Objective: 0.049477dB, Best: 0.049477dB
Iteration 190, Objective: 0.049372dB, Best: 0.049372dB
Iteration 191, Objective: 0.049319dB, Best: 0.049319dB
Iteration 192, Objective: 0.049254dB, Best: 0.049254dB
Iteration 193, Objective: 0.049224dB, Best: 0.049224dB
Iteration 194, Objective: 0.049048dB, Best: 0.049048dB
Iteration 195, Objective: 0.049030dB, Best: 0.049030dB
Iteration 196, Objective: 0.048998dB, Best: 0.048998dB
Iteration 197, Objective: 0.048966dB, Best: 0.048966dB
Iteration 198, Objective: 0.048920dB, Best: 0.048920dB
Iteration 199, Objective: 0.048875dB, Best: 0.048875dB
Iteration 200, Objective: 0.048818dB, Best: 0.048818dB
Iteration 201, Objective: 0.048784dB, Best: 0.048784dB
Iteration 202, Objective: 0.048761dB, Best: 0.048761dB
Iteration 203, Objective: 0.048743dB, Best: 0.048743dB
Iteration 204, Objective: 0.048721dB, Best: 0.048721dB
Iteration 205, Objective: 0.048701dB, Best: 0.048701dB
Iteration 206, Objective: 0.048682dB, Best: 0.048682dB
Iteration 207, Objective: 0.048664dB, Best: 0.048664dB
Iteration 208, Objective: 0.048649dB, Best: 0.048649dB
Iteration 209, Objective: 0.048638dB, Best: 0.048638dB
Iteration 210, Objective: 0.048627dB, Best: 0.048627dB
Iteration 211, Objective: 0.048592dB, Best: 0.048592dB
Iteration 212, Objective: 0.048532dB, Best: 0.048532dB
Iteration 213, Objective: 0.048484dB, Best: 0.048484dB
Iteration 214, Objective: 0.048420dB, Best: 0.048420dB
Iteration 215, Objective: 0.048384dB, Best: 0.048384dB
Iteration 216, Objective: 0.048364dB, Best: 0.048364dB
Iteration 217, Objective: 0.048356dB, Best: 0.048356dB
Iteration 218, Objective: 0.048345dB, Best: 0.048345dB
Iteration 219, Objective: 0.048314dB, Best: 0.048314dB
Iteration 220, Objective: 0.048304dB, Best: 0.048304dB
Iteration 221, Objective: 0.048271dB, Best: 0.048271dB
Iteration 222, Objective: 0.048247dB, Best: 0.048247dB
Iteration 223, Objective: 0.048183dB, Best: 0.048183dB
Iteration 224, Objective: 0.048084dB, Best: 0.048084dB
Iteration 225, Objective: 0.048006dB, Best: 0.048006dB
Iteration 226, Objective: 0.047954dB, Best: 0.047954dB
Iteration 227, Objective: 0.047896dB, Best: 0.047896dB
Iteration 228, Objective: 0.047847dB, Best: 0.047847dB
Iteration 229, Objective: 0.047792dB, Best: 0.047792dB
Iteration 230, Objective: 0.047682dB, Best: 0.047682dB
Iteration 231, Objective: 0.047609dB, Best: 0.047609dB
Iteration 232, Objective: 0.047569dB, Best: 0.047569dB
Iteration 233, Objective: 0.047542dB, Best: 0.047542dB
Iteration 234, Objective: 0.047529dB, Best: 0.047529dB
Iteration 235, Objective: 0.047500dB, Best: 0.047500dB
Iteration 236, Objective: 0.047487dB, Best: 0.047487dB
Iteration 237, Objective: 0.047402dB, Best: 0.047402dB
Iteration 238, Objective: 0.047340dB, Best: 0.047340dB
Iteration 239, Objective: 0.047296dB, Best: 0.047296dB
Iteration 240, Objective: 0.047232dB, Best: 0.047232dB
Iteration 241, Objective: 0.047207dB, Best: 0.047207dB
Iteration 242, Objective: 0.047195dB, Best: 0.047195dB
Iteration 243, Objective: 0.047179dB, Best: 0.047179dB
Iteration 244, Objective: 0.047162dB, Best: 0.047162dB
Iteration 245, Objective: 0.047156dB, Best: 0.047156dB
Iteration 246, Objective: 0.047069dB, Best: 0.047069dB
Iteration 247, Objective: 0.046995dB, Best: 0.046995dB
Iteration 248, Objective: 0.046953dB, Best: 0.046953dB
Iteration 249, Objective: 0.046905dB, Best: 0.046905dB
Iteration 250, Objective: 0.046870dB, Best: 0.046870dB
Iteration 251, Objective: 0.046805dB, Best: 0.046805dB
Iteration 252, Objective: 0.046769dB, Best: 0.046769dB
Iteration 253, Objective: 0.046706dB, Best: 0.046706dB
Iteration 254, Objective: 0.046678dB, Best: 0.046678dB
Iteration 255, Objective: 0.046618dB, Best: 0.046618dB
Iteration 256, Objective: 0.046543dB, Best: 0.046543dB
Iteration 257, Objective: 0.046499dB, Best: 0.046499dB
Iteration 258, Objective: 0.046461dB, Best: 0.046461dB
Iteration 259, Objective: 0.046319dB, Best: 0.046319dB
Iteration 260, Objective: 0.046200dB, Best: 0.046200dB
