Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 292, Objective: 0.051108dB, Best: 0.051108dB
Iteration 293, Objective: 0.051083dB, Best: 0.051083dB
Iteration 294, Objective: 0.051020dB, Best: 0.051020dB
Iteration 295, Objective: 0.050989dB, Best: 0.050989dB
Iteration 296, Objective: 0.050961dB, Best: 0.050961dB
Iteration 297, Objective: 0.050939dB, Best: 0.050939dB
Iteration 298, Objective: 0.050928dB, Best: 0.050928dB
Iteration 299, Objective: 0.050888dB, Best: 0.050888dB
Iteration 300, Objective: 0.050841dB, Best: 0.050841dB
Iteration 301, Objective: 0.050813dB, Best: 0.050813dB
Iteration 302, Objective: 0.050800dB, Best: 0.050800dB
Iteration 303, Objective: 0.050759dB, Best: 0.050759dB
Iteration 304, Objective: 0.050737dB, Best: 0.050737dB
Iteration 305, Objective: 0.050706dB, Best: 0.050706dB
Iteration 306, Objective: 0.050674dB, Best: 0.050674dB
Iteration 307, Objective: 0.050607dB, Best: 0.050607dB
Iteration 308, Objective: 0.050553dB, Best: 0.050553dB
Iteration 309, Objective: 0.050529dB, Best: 0.050529dB
Iteration 310, Objective: 0.050443dB, Best: 0.050443dB
Iteration 311, Objective: 0.050389dB, Best: 0.050389dB
Iteration 312, Objective: 0.050335dB, Best: 0.050335dB
Iteration 313, Objective: 0.050289dB, Best: 0.050289dB
Iteration 314, Objective: 0.050245dB, Best: 0.050245dB
Iteration 315, Objective: 0.050215dB, Best: 0.050215dB
Iteration 316, Objective: 0.050166dB, Best: 0.050166dB
Iteration 317, Objective: 0.050057dB, Best: 0.050057dB
Iteration 318, Objective: 0.050009dB, Best: 0.050009dB
Iteration 319, Objective: 0.049952dB, Best: 0.049952dB
Iteration 320, Objective: 0.049933dB, Best: 0.049933dB
Iteration 321, Objective: 0.049806dB, Best: 0.049806dB
Iteration 322, Objective: 0.049767dB, Best: 0.049767dB
Iteration 323, Objective: 0.049742dB, Best: 0.049742dB
Iteration 324, Objective: 0.049677dB, Best: 0.049677dB
Iteration 325, Objective: 0.049663dB, Best: 0.049663dB
Iteration 326, Objective: 0.049601dB, Best: 0.049601dB
Iteration 327, Objective: 0.049556dB, Best: 0.049556dB
Iteration 328, Objective: 0.049527dB, Best: 0.049527dB
Iteration 329, Objective: 0.049476dB, Best: 0.049476dB
Iteration 330, Objective: 0.049445dB, Best: 0.049445dB
Iteration 331, Objective: 0.049404dB, Best: 0.049404dB
Iteration 332, Objective: 0.049378dB, Best: 0.049378dB
Iteration 333, Objective: 0.049347dB, Best: 0.049347dB
Iteration 334, Objective: 0.049316dB, Best: 0.049316dB
Iteration 335, Objective: 0.049287dB, Best: 0.049287dB
Iteration 336, Objective: 0.049270dB, Best: 0.049270dB
Iteration 337, Objective: 0.049246dB, Best: 0.049246dB
Iteration 338, Objective: 0.049196dB, Best: 0.049196dB
Iteration 339, Objective: 0.049135dB, Best: 0.049135dB
Iteration 340, Objective: 0.049107dB, Best: 0.049107dB
Iteration 341, Objective: 0.049074dB, Best: 0.049074dB
Iteration 342, Objective: 0.049050dB, Best: 0.049050dB
Iteration 343, Objective: 0.049025dB, Best: 0.049025dB
Iteration 344, Objective: 0.048981dB, Best: 0.048981dB
Iteration 345, Objective: 0.048949dB, Best: 0.048949dB
Iteration 346, Objective: 0.048929dB, Best: 0.048929dB
Iteration 347, Objective: 0.048889dB, Best: 0.048889dB
Iteration 348, Objective: 0.048866dB, Best: 0.048866dB
Iteration 349, Objective: 0.048844dB, Best: 0.048844dB
Iteration 350, Objective: 0.048810dB, Best: 0.048810dB
Iteration 351, Objective: 0.048788dB, Best: 0.048788dB
Iteration 352, Objective: 0.048763dB, Best: 0.048763dB
Iteration 353, Objective: 0.048743dB, Best: 0.048743dB
Iteration 354, Objective: 0.048718dB, Best: 0.048718dB
Iteration 355, Objective: 0.048693dB, Best: 0.048693dB
Iteration 356, Objective: 0.048627dB, Best: 0.048627dB
Iteration 357, Objective: 0.048607dB, Best: 0.048607dB
Iteration 358, Objective: 0.048562dB, Best: 0.048562dB
Iteration 359, Objective: 0.048538dB, Best: 0.048538dB
Iteration 360, Objective: 0.048507dB, Best: 0.048507dB
Iteration 361, Objective: 0.048485dB, Best: 0.048485dB
Iteration 362, Objective: 0.048454dB, Best: 0.048454dB
Iteration 363, Objective: 0.048435dB, Best: 0.048435dB
Iteration 364, Objective: 0.048399dB, Best: 0.048399dB
Iteration 365, Objective: 0.048361dB, Best: 0.048361dB
Iteration 366, Objective: 0.048336dB, Best: 0.048336dB
Iteration 367, Objective: 0.048320dB, Best: 0.048320dB
Iteration 368, Objective: 0.048306dB, Best: 0.048306dB
Iteration 369, Objective: 0.048280dB, Best: 0.048280dB
Iteration 370, Objective: 0.048253dB, Best: 0.048253dB
Iteration 371, Objective: 0.048227dB, Best: 0.048227dB
Iteration 372, Objective: 0.048195dB, Best: 0.048195dB
Iteration 373, Objective: 0.048153dB, Best: 0.048153dB
Iteration 374, Objective: 0.048124dB, Best: 0.048124dB
Iteration 375, Objective: 0.048080dB, Best: 0.048080dB
Iteration 376, Objective: 0.048052dB, Best: 0.048052dB
Iteration 377, Objective: 0.048010dB, Best: 0.048010dB
Iteration 378, Objective: 0.047979dB, Best: 0.047979dB
Iteration 379, Objective: 0.047968dB, Best: 0.047968dB
Iteration 380, Objective: 0.047889dB, Best: 0.047889dB
Iteration 381, Objective: 0.047855dB, Best: 0.047855dB
Iteration 382, Objective: 0.047829dB, Best: 0.047829dB
Iteration 383, Objective: 0.047799dB, Best: 0.047799dB
Iteration 384, Objective: 0.047724dB, Best: 0.047724dB
Iteration 385, Objective: 0.047658dB, Best: 0.047658dB
Iteration 386, Objective: 0.047615dB, Best: 0.047615dB
Iteration 387, Objective: 0.047596dB, Best: 0.047596dB
Iteration 388, Objective: 0.047552dB, Best: 0.047552dB
Iteration 389, Objective: 0.047511dB, Best: 0.047511dB
Iteration 390, Objective: 0.047486dB, Best: 0.047486dB
Iteration 391, Objective: 0.047456dB, Best: 0.047456dB
Iteration 392, Objective: 0.047452dB, Best: 0.047452dB
Iteration 393, Objective: 0.047407dB, Best: 0.047407dB
Iteration 394, Objective: 0.047386dB, Best: 0.047386dB
Iteration 395, Objective: 0.047362dB, Best: 0.047362dB
Iteration 396, Objective: 0.047328dB, Best: 0.047328dB
Iteration 397, Objective: 0.047314dB, Best: 0.047314dB
Iteration 398, Objective: 0.047291dB, Best: 0.047291dB
Iteration 399, Objective: 0.047261dB, Best: 0.047261dB
Iteration 400, Objective: 0.047240dB, Best: 0.047240dB
Iteration 401, Objective: 0.047176dB, Best: 0.047176dB
Iteration 402, Objective: 0.047143dB, Best: 0.047143dB
Iteration 403, Objective: 0.047071dB, Best: 0.047071dB
Iteration 404, Objective: 0.046982dB, Best: 0.046982dB
Iteration 405, Objective: 0.046918dB, Best: 0.046918dB
Iteration 406, Objective: 0.046844dB, Best: 0.046844dB
Iteration 407, Objective: 0.046799dB, Best: 0.046799dB
Iteration 408, Objective: 0.046716dB, Best: 0.046716dB
Iteration 409, Objective: 0.046654dB, Best: 0.046654dB
Iteration 410, Objective: 0.046625dB, Best: 0.046625dB
Iteration 411, Objective: 0.046565dB, Best: 0.046565dB
Iteration 412, Objective: 0.046518dB, Best: 0.046518dB
Iteration 413, Objective: 0.046478dB, Best: 0.046478dB
Iteration 414, Objective: 0.046400dB, Best: 0.046400dB
Iteration 415, Objective: 0.046379dB, Best: 0.046379dB
Iteration 416, Objective: 0.046232dB, Best: 0.046232dB
Iteration 417, Objective: 0.046202dB, Best: 0.046202dB
Iteration 418, Objective: 0.046149dB, Best: 0.046149dB
Iteration 419, Objective: 0.046098dB, Best: 0.046098dB
Iteration 420, Objective: 0.046068dB, Best: 0.046068dB
Iteration 421, Objective: 0.046046dB, Best: 0.046046dB
Iteration 422, Objective: 0.046024dB, Best: 0.046024dB
Iteration 423, Objective: 0.045980dB, Best: 0.045980dB
Iteration 424, Objective: 0.045930dB, Best: 0.045930dB
Iteration 425, Objective: 0.045883dB, Best: 0.045883dB
Iteration 426, Objective: 0.045833dB, Best: 0.045833dB
Iteration 427, Objective: 0.045802dB, Best: 0.045802dB
Iteration 428, Objective: 0.045723dB, Best: 0.045723dB
Iteration 429, Objective: 0.045668dB, Best: 0.045668dB
Iteration 430, Objective: 0.045624dB, Best: 0.045624dB
Iteration 431, Objective: 0.045595dB, Best: 0.045595dB
Iteration 432, Objective: 0.045578dB, Best: 0.045578dB
Iteration 433, Objective: 0.045569dB, Best: 0.045569dB
Iteration 434, Objective: 0.045529dB, Best: 0.045529dB
Iteration 435, Objective: 0.045496dB, Best: 0.045496dB
Iteration 436, Objective: 0.045488dB, Best: 0.045488dB
Iteration 437, Objective: 0.045426dB, Best: 0.045426dB
Iteration 438, Objective: 0.045382dB, Best: 0.045382dB
Iteration 439, Objective: 0.045345dB, Best: 0.045345dB
Iteration 440, Objective: 0.045287dB, Best: 0.045287dB
Iteration 441, Objective: 0.045246dB, Best: 0.045246dB
Iteration 442, Objective: 0.045210dB, Best: 0.045210dB
Iteration 443, Objective: 0.045182dB, Best: 0.045182dB
Iteration 444, Objective: 0.045162dB, Best: 0.045162dB
