Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 307, Objective: 0.050186dB, Best: 0.050186dB
Iteration 308, Objective: 0.050143dB, Best: 0.050143dB
Iteration 309, Objective: 0.050065dB, Best: 0.050065dB
Iteration 310, Objective: 0.050033dB, Best: 0.050033dB
Iteration 311, Objective: 0.049987dB, Best: 0.049987dB
Iteration 312, Objective: 0.049948dB, Best: 0.049948dB
Iteration 313, Objective: 0.049915dB, Best: 0.049915dB
Iteration 314, Objective: 0.049826dB, Best: 0.049826dB
Iteration 315, Objective: 0.049791dB, Best: 0.049791dB
Iteration 316, Objective: 0.049773dB, Best: 0.049773dB
Iteration 317, Objective: 0.049754dB, Best: 0.049754dB
Iteration 318, Objective: 0.049745dB, Best: 0.049745dB
Iteration 319, Objective: 0.049712dB, Best: 0.049712dB
Iteration 320, Objective: 0.049672dB, Best: 0.049672dB
Iteration 321, Objective: 0.049640dB, Best: 0.049640dB
Iteration 322, Objective: 0.049576dB, Best: 0.049576dB
Iteration 323, Objective: 0.049547dB, Best: 0.049547dB
Iteration 324, Objective: 0.049508dB, Best: 0.049508dB
Iteration 325, Objective: 0.049481dB, Best: 0.049481dB
Iteration 326, Objective: 0.049391dB, Best: 0.049391dB
Iteration 327, Objective: 0.049325dB, Best: 0.049325dB
Iteration 328, Objective: 0.049162dB, Best: 0.049162dB
Iteration 329, Objective: 0.049099dB, Best: 0.049099dB
Iteration 330, Objective: 0.049011dB, Best: 0.049011dB
Iteration 331, Objective: 0.049009dB, Best: 0.049009dB
Iteration 332, Objective: 0.048895dB, Best: 0.048895dB
Iteration 333, Objective: 0.048833dB, Best: 0.048833dB
Iteration 334, Objective: 0.048778dB, Best: 0.048778dB
Iteration 335, Objective: 0.048713dB, Best: 0.048713dB
Iteration 336, Objective: 0.048640dB, Best: 0.048640dB
Iteration 337, Objective: 0.048559dB, Best: 0.048559dB
Iteration 338, Objective: 0.048494dB, Best: 0.048494dB
Iteration 339, Objective: 0.048468dB, Best: 0.048468dB
Iteration 340, Objective: 0.048434dB, Best: 0.048434dB
Iteration 341, Objective: 0.048383dB, Best: 0.048383dB
Iteration 342, Objective: 0.048317dB, Best: 0.048317dB
Iteration 343, Objective: 0.048282dB, Best: 0.048282dB
Iteration 344, Objective: 0.048266dB, Best: 0.048266dB
Iteration 345, Objective: 0.048231dB, Best: 0.048231dB
Iteration 346, Objective: 0.048169dB, Best: 0.048169dB
Iteration 347, Objective: 0.048140dB, Best: 0.048140dB
Iteration 348, Objective: 0.048085dB, Best: 0.048085dB
Iteration 349, Objective: 0.048046dB, Best: 0.048046dB
Iteration 350, Objective: 0.047982dB, Best: 0.047982dB
Iteration 351, Objective: 0.047931dB, Best: 0.047931dB
Iteration 352, Objective: 0.047859dB, Best: 0.047859dB
Iteration 353, Objective: 0.047806dB, Best: 0.047806dB
Iteration 354, Objective: 0.047734dB, Best: 0.047734dB
Iteration 355, Objective: 0.047709dB, Best: 0.047709dB
Iteration 356, Objective: 0.047688dB, Best: 0.047688dB
Iteration 357, Objective: 0.047658dB, Best: 0.047658dB
Iteration 358, Objective: 0.047609dB, Best: 0.047609dB
Iteration 359, Objective: 0.047565dB, Best: 0.047565dB
Iteration 360, Objective: 0.047535dB, Best: 0.047535dB
Iteration 361, Objective: 0.047497dB, Best: 0.047497dB
Iteration 362, Objective: 0.047471dB, Best: 0.047471dB
Iteration 363, Objective: 0.047435dB, Best: 0.047435dB
Iteration 364, Objective: 0.047418dB, Best: 0.047418dB
Iteration 365, Objective: 0.047376dB, Best: 0.047376dB
Iteration 366, Objective: 0.047352dB, Best: 0.047352dB
Iteration 367, Objective: 0.047327dB, Best: 0.047327dB
Iteration 368, Objective: 0.047283dB, Best: 0.047283dB
Iteration 369, Objective: 0.047259dB, Best: 0.047259dB
Iteration 370, Objective: 0.047232dB, Best: 0.047232dB
Iteration 371, Objective: 0.047200dB, Best: 0.047200dB
Iteration 372, Objective: 0.047149dB, Best: 0.047149dB
Iteration 373, Objective: 0.047120dB, Best: 0.047120dB
Iteration 374, Objective: 0.047097dB, Best: 0.047097dB
Iteration 375, Objective: 0.047072dB, Best: 0.047072dB
Iteration 376, Objective: 0.047028dB, Best: 0.047028dB
Iteration 377, Objective: 0.046985dB, Best: 0.046985dB
Iteration 378, Objective: 0.046966dB, Best: 0.046966dB
Iteration 379, Objective: 0.046934dB, Best: 0.046934dB
Iteration 380, Objective: 0.046886dB, Best: 0.046886dB
Iteration 381, Objective: 0.046858dB, Best: 0.046858dB
Iteration 382, Objective: 0.046849dB, Best: 0.046849dB
Iteration 383, Objective: 0.046820dB, Best: 0.046820dB
Iteration 384, Objective: 0.046798dB, Best: 0.046798dB
Iteration 385, Objective: 0.046790dB, Best: 0.046790dB
Iteration 386, Objective: 0.046744dB, Best: 0.046744dB
Iteration 387, Objective: 0.046722dB, Best: 0.046722dB
Iteration 388, Objective: 0.046708dB, Best: 0.046708dB
Iteration 389, Objective: 0.046706dB, Best: 0.046706dB
Iteration 390, Objective: 0.046692dB, Best: 0.046692dB
Iteration 391, Objective: 0.046676dB, Best: 0.046676dB
Iteration 392, Objective: 0.046659dB, Best: 0.046659dB
Iteration 393, Objective: 0.046657dB, Best: 0.046657dB
Iteration 394, Objective: 0.046650dB, Best: 0.046650dB
Iteration 395, Objective: 0.046641dB, Best: 0.046641dB
Iteration 396, Objective: 0.046628dB, Best: 0.046628dB
Iteration 397, Objective: 0.046616dB, Best: 0.046616dB
Iteration 398, Objective: 0.046605dB, Best: 0.046605dB
Iteration 399, Objective: 0.046594dB, Best: 0.046594dB
Iteration 400, Objective: 0.046579dB, Best: 0.046579dB
Iteration 401, Objective: 0.046573dB, Best: 0.046573dB
Iteration 402, Objective: 0.046562dB, Best: 0.046562dB
Iteration 403, Objective: 0.046557dB, Best: 0.046557dB
Iteration 404, Objective: 0.046532dB, Best: 0.046532dB
