Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 300, Objective: 0.046900dB, Best: 0.046900dB
Iteration 301, Objective: 0.046728dB, Best: 0.046728dB
Iteration 302, Objective: 0.046641dB, Best: 0.046641dB
Iteration 303, Objective: 0.046574dB, Best: 0.046574dB
Iteration 304, Objective: 0.046531dB, Best: 0.046531dB
Iteration 305, Objective: 0.046485dB, Best: 0.046485dB
Iteration 306, Objective: 0.046480dB, Best: 0.046480dB
Iteration 307, Objective: 0.046411dB, Best: 0.046411dB
Iteration 308, Objective: 0.046368dB, Best: 0.046368dB
Iteration 309, Objective: 0.046329dB, Best: 0.046329dB
Iteration 310, Objective: 0.046293dB, Best: 0.046293dB
Iteration 311, Objective: 0.046238dB, Best: 0.046238dB
Iteration 312, Objective: 0.046215dB, Best: 0.046215dB
Iteration 313, Objective: 0.046182dB, Best: 0.046182dB
Iteration 314, Objective: 0.046114dB, Best: 0.046114dB
Iteration 315, Objective: 0.046065dB, Best: 0.046065dB
Iteration 316, Objective: 0.046026dB, Best: 0.046026dB
Iteration 317, Objective: 0.045967dB, Best: 0.045967dB
Iteration 318, Objective: 0.045880dB, Best: 0.045880dB
Iteration 319, Objective: 0.045830dB, Best: 0.045830dB
Iteration 320, Objective: 0.045794dB, Best: 0.045794dB
Iteration 321, Objective: 0.045757dB, Best: 0.045757dB
Iteration 322, Objective: 0.045723dB, Best: 0.045723dB
Iteration 323, Objective: 0.045671dB, Best: 0.045671dB
Iteration 324, Objective: 0.045591dB, Best: 0.045591dB
Iteration 325, Objective: 0.045550dB, Best: 0.045550dB
Iteration 326, Objective: 0.045528dB, Best: 0.045528dB
Iteration 327, Objective: 0.045469dB, Best: 0.045469dB
Iteration 328, Objective: 0.045421dB, Best: 0.045421dB
Iteration 329, Objective: 0.045380dB, Best: 0.045380dB
Iteration 330, Objective: 0.045374dB, Best: 0.045374dB
Iteration 331, Objective: 0.045349dB, Best: 0.045349dB
Iteration 332, Objective: 0.045317dB, Best: 0.045317dB
Iteration 333, Objective: 0.045286dB, Best: 0.045286dB
Iteration 334, Objective: 0.045221dB, Best: 0.045221dB
Iteration 335, Objective: 0.045163dB, Best: 0.045163dB
Iteration 336, Objective: 0.045129dB, Best: 0.045129dB
Iteration 337, Objective: 0.045107dB, Best: 0.045107dB
Iteration 338, Objective: 0.045070dB, Best: 0.045070dB
Iteration 339, Objective: 0.045039dB, Best: 0.045039dB
Iteration 340, Objective: 0.044901dB, Best: 0.044901dB
Iteration 341, Objective: 0.044833dB, Best: 0.044833dB
Iteration 342, Objective: 0.044740dB, Best: 0.044740dB
Iteration 343, Objective: 0.044677dB, Best: 0.044677dB
Iteration 344, Objective: 0.044619dB, Best: 0.044619dB
Iteration 345, Objective: 0.044604dB, Best: 0.044604dB
Iteration 346, Objective: 0.044498dB, Best: 0.044498dB
Iteration 347, Objective: 0.044461dB, Best: 0.044461dB
Iteration 348, Objective: 0.044428dB, Best: 0.044428dB
Iteration 349, Objective: 0.044383dB, Best: 0.044383dB
Iteration 350, Objective: 0.044345dB, Best: 0.044345dB
Iteration 351, Objective: 0.044315dB, Best: 0.044315dB
Iteration 352, Objective: 0.044287dB, Best: 0.044287dB
Iteration 353, Objective: 0.044263dB, Best: 0.044263dB
Iteration 354, Objective: 0.044230dB, Best: 0.044230dB
Iteration 355, Objective: 0.044217dB, Best: 0.044217dB
Iteration 356, Objective: 0.044146dB, Best: 0.044146dB
Iteration 357, Objective: 0.044134dB, Best: 0.044134dB
Iteration 358, Objective: 0.044107dB, Best: 0.044107dB
Iteration 359, Objective: 0.044102dB, Best: 0.044102dB
Iteration 360, Objective: 0.044033dB, Best: 0.044033dB
Iteration 361, Objective: 0.044003dB, Best: 0.044003dB
Iteration 362, Objective: 0.043981dB, Best: 0.043981dB
Iteration 363, Objective: 0.043979dB, Best: 0.043979dB
Iteration 364, Objective: 0.043948dB, Best: 0.043948dB
Iteration 365, Objective: 0.043914dB, Best: 0.043914dB
Iteration 366, Objective: 0.043903dB, Best: 0.043903dB
Iteration 367, Objective: 0.043876dB, Best: 0.043876dB
Iteration 368, Objective: 0.043845dB, Best: 0.043845dB
Iteration 369, Objective: 0.043826dB, Best: 0.043826dB
Iteration 370, Objective: 0.043804dB, Best: 0.043804dB
Iteration 371, Objective: 0.043785dB, Best: 0.043785dB
Iteration 372, Objective: 0.043748dB, Best: 0.043748dB
Iteration 373, Objective: 0.043728dB, Best: 0.043728dB
Iteration 374, Objective: 0.043720dB, Best: 0.043720dB
Iteration 375, Objective: 0.043707dB, Best: 0.043707dB
Iteration 376, Objective: 0.043685dB, Best: 0.043685dB
Iteration 377, Objective: 0.043684dB, Best: 0.043684dB
Iteration 378, Objective: 0.043636dB, Best: 0.043636dB
Iteration 379, Objective: 0.043609dB, Best: 0.043609dB
Iteration 380, Objective: 0.043557dB, Best: 0.043557dB
Iteration 381, Objective: 0.043507dB, Best: 0.043507dB
Iteration 382, Objective: 0.043455dB, Best: 0.043455dB
Iteration 383, Objective: 0.043432dB, Best: 0.043432dB
Iteration 384, Objective: 0.043392dB, Best: 0.043392dB
Iteration 385, Objective: 0.043366dB, Best: 0.043366dB
Iteration 386, Objective: 0.043355dB, Best: 0.043355dB
Iteration 387, Objective: 0.043335dB, Best: 0.043335dB
Iteration 388, Objective: 0.043313dB, Best: 0.043313dB
Iteration 389, Objective: 0.043283dB, Best: 0.043283dB
Iteration 390, Objective: 0.043252dB, Best: 0.043252dB
Iteration 391, Objective: 0.043227dB, Best: 0.043227dB
Iteration 392, Objective: 0.043182dB, Best: 0.043182dB
Iteration 393, Objective: 0.043129dB, Best: 0.043129dB
Iteration 394, Objective: 0.043096dB, Best: 0.043096dB
Iteration 395, Objective: 0.043090dB, Best: 0.043090dB
Iteration 396, Objective: 0.043002dB, Best: 0.043002dB
Iteration 397, Objective: 0.042948dB, Best: 0.042948dB
Iteration 398, Objective: 0.042926dB, Best: 0.042926dB
Iteration 399, Objective: 0.042887dB, Best: 0.042887dB
Iteration 400, Objective: 0.042857dB, Best: 0.042857dB
Iteration 401, Objective: 0.042840dB, Best: 0.042840dB
Iteration 402, Objective: 0.042807dB, Best: 0.042807dB
Iteration 403, Objective: 0.042741dB, Best: 0.042741dB
Iteration 404, Objective: 0.042708dB, Best: 0.042708dB
Iteration 405, Objective: 0.042660dB, Best: 0.042660dB
Iteration 406, Objective: 0.042618dB, Best: 0.042618dB
Iteration 407, Objective: 0.042598dB, Best: 0.042598dB
Iteration 408, Objective: 0.042570dB, Best: 0.042570dB
Iteration 409, Objective: 0.042552dB, Best: 0.042552dB
Iteration 410, Objective: 0.042511dB, Best: 0.042511dB
Iteration 411, Objective: 0.042502dB, Best: 0.042502dB
Iteration 412, Objective: 0.042443dB, Best: 0.042443dB
Iteration 413, Objective: 0.042418dB, Best: 0.042418dB
Iteration 414, Objective: 0.042399dB, Best: 0.042399dB
Iteration 415, Objective: 0.042359dB, Best: 0.042359dB
Iteration 416, Objective: 0.042321dB, Best: 0.042321dB
Iteration 417, Objective: 0.042310dB, Best: 0.042310dB
Iteration 418, Objective: 0.042244dB, Best: 0.042244dB
Iteration 419, Objective: 0.042220dB, Best: 0.042220dB
Iteration 420, Objective: 0.042186dB, Best: 0.042186dB
Iteration 421, Objective: 0.042164dB, Best: 0.042164dB
Iteration 422, Objective: 0.042123dB, Best: 0.042123dB
Iteration 423, Objective: 0.042085dB, Best: 0.042085dB
Iteration 424, Objective: 0.042066dB, Best: 0.042066dB
Iteration 425, Objective: 0.042041dB, Best: 0.042041dB
Iteration 426, Objective: 0.042025dB, Best: 0.042025dB
Iteration 427, Objective: 0.042017dB, Best: 0.042017dB
Iteration 428, Objective: 0.041993dB, Best: 0.041993dB
Iteration 429, Objective: 0.041950dB, Best: 0.041950dB
Iteration 430, Objective: 0.041930dB, Best: 0.041930dB
Iteration 431, Objective: 0.041919dB, Best: 0.041919dB
Iteration 432, Objective: 0.041893dB, Best: 0.041893dB
Iteration 433, Objective: 0.041850dB, Best: 0.041850dB
Iteration 434, Objective: 0.041808dB, Best: 0.041808dB
Iteration 435, Objective: 0.041770dB, Best: 0.041770dB
Iteration 436, Objective: 0.041706dB, Best: 0.041706dB
Iteration 437, Objective: 0.041692dB, Best: 0.041692dB
Iteration 438, Objective: 0.041638dB, Best: 0.041638dB
Iteration 439, Objective: 0.041577dB, Best: 0.041577dB
Iteration 440, Objective: 0.041546dB, Best: 0.041546dB
Iteration 441, Objective: 0.041518dB, Best: 0.041518dB
Iteration 442, Objective: 0.041501dB, Best: 0.041501dB
Iteration 443, Objective: 0.041447dB, Best: 0.041447dB
Iteration 444, Objective: 0.041406dB, Best: 0.041406dB
Iteration 445, Objective: 0.041388dB, Best: 0.041388dB
Iteration 446, Objective: 0.041350dB, Best: 0.041350dB
