Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 158, Objective: 0.030926dB, Best: 0.030926dB
Iteration 159, Objective: 0.030804dB, Best: 0.030804dB
Iteration 160, Objective: 0.030695dB, Best: 0.030695dB
Iteration 161, Objective: 0.030579dB, Best: 0.030579dB
Iteration 162, Objective: 0.030473dB, Best: 0.030473dB
Iteration 163, Objective: 0.030381dB, Best: 0.030381dB
Iteration 164, Objective: 0.030308dB, Best: 0.030308dB
Iteration 165, Objective: 0.030181dB, Best: 0.030181dB
Iteration 166, Objective: 0.030005dB, Best: 0.030005dB
Iteration 167, Objective: 0.029865dB, Best: 0.029865dB
Iteration 168, Objective: 0.029795dB, Best: 0.029795dB
Iteration 169, Objective: 0.029683dB, Best: 0.029683dB
Iteration 170, Objective: 0.029660dB, Best: 0.029660dB
Iteration 171, Objective: 0.029522dB, Best: 0.029522dB
Iteration 172, Objective: 0.029448dB, Best: 0.029448dB
Iteration 173, Objective: 0.029379dB, Best: 0.029379dB
Iteration 174, Objective: 0.029347dB, Best: 0.029347dB
Iteration 175, Objective: 0.029266dB, Best: 0.029266dB
Iteration 176, Objective: 0.029249dB, Best: 0.029249dB
Iteration 177, Objective: 0.029212dB, Best: 0.029212dB
Iteration 178, Objective: 0.029195dB, Best: 0.029195dB
Iteration 179, Objective: 0.029145dB, Best: 0.029145dB
Iteration 180, Objective: 0.029114dB, Best: 0.029114dB
Iteration 181, Objective: 0.029096dB, Best: 0.029096dB
Iteration 182, Objective: 0.029078dB, Best: 0.029078dB
Iteration 183, Objective: 0.029053dB, Best: 0.029053dB
Iteration 184, Objective: 0.029022dB, Best: 0.029022dB
Iteration 185, Objective: 0.029010dB, Best: 0.029010dB
Iteration 186, Objective: 0.028995dB, Best: 0.028995dB
Iteration 187, Objective: 0.028980dB, Best: 0.028980dB
Iteration 188, Objective: 0.028967dB, Best: 0.028967dB
Iteration 189, Objective: 0.028951dB, Best: 0.028951dB
Iteration 190, Objective: 0.028934dB, Best: 0.028934dB
Iteration 191, Objective: 0.028899dB, Best: 0.028899dB
Iteration 192, Objective: 0.028881dB, Best: 0.028881dB
Iteration 193, Objective: 0.028863dB, Best: 0.028863dB
Iteration 194, Objective: 0.028845dB, Best: 0.028845dB
Iteration 195, Objective: 0.028819dB, Best: 0.028819dB
Iteration 196, Objective: 0.028794dB, Best: 0.028794dB
Iteration 197, Objective: 0.028775dB, Best: 0.028775dB
Iteration 198, Objective: 0.028749dB, Best: 0.028749dB
Iteration 199, Objective: 0.028731dB, Best: 0.028731dB
Iteration 200, Objective: 0.028705dB, Best: 0.028705dB
Iteration 201, Objective: 0.028679dB, Best: 0.028679dB
Iteration 202, Objective: 0.028661dB, Best: 0.028661dB
Iteration 203, Objective: 0.028649dB, Best: 0.028649dB
Iteration 204, Objective: 0.028637dB, Best: 0.028637dB
Iteration 205, Objective: 0.028622dB, Best: 0.028622dB
