Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 157, Objective: 0.069017dB, Best: 0.069017dB
Iteration 158, Objective: 0.068705dB, Best: 0.068705dB
Iteration 159, Objective: 0.068658dB, Best: 0.068658dB
Iteration 160, Objective: 0.068376dB, Best: 0.068376dB
Iteration 161, Objective: 0.068193dB, Best: 0.068193dB
Iteration 162, Objective: 0.068052dB, Best: 0.068052dB
Iteration 163, Objective: 0.067905dB, Best: 0.067905dB
Iteration 164, Objective: 0.067726dB, Best: 0.067726dB
Iteration 165, Objective: 0.067581dB, Best: 0.067581dB
Iteration 166, Objective: 0.067443dB, Best: 0.067443dB
Iteration 167, Objective: 0.067187dB, Best: 0.067187dB
Iteration 168, Objective: 0.067002dB, Best: 0.067002dB
Iteration 169, Objective: 0.066766dB, Best: 0.066766dB
Iteration 170, Objective: 0.066526dB, Best: 0.066526dB
Iteration 171, Objective: 0.066235dB, Best: 0.066235dB
Iteration 172, Objective: 0.065870dB, Best: 0.065870dB
Iteration 173, Objective: 0.065731dB, Best: 0.065731dB
Iteration 174, Objective: 0.065523dB, Best: 0.065523dB
Iteration 175, Objective: 0.065406dB, Best: 0.065406dB
Iteration 176, Objective: 0.064882dB, Best: 0.064882dB
Iteration 177, Objective: 0.064662dB, Best: 0.064662dB
Iteration 178, Objective: 0.064449dB, Best: 0.064449dB
Iteration 179, Objective: 0.063873dB, Best: 0.063873dB
Iteration 180, Objective: 0.063698dB, Best: 0.063698dB
Iteration 181, Objective: 0.063460dB, Best: 0.063460dB
Iteration 182, Objective: 0.063114dB, Best: 0.063114dB
Iteration 183, Objective: 0.062927dB, Best: 0.062927dB
Iteration 184, Objective: 0.062638dB, Best: 0.062638dB
Iteration 185, Objective: 0.062390dB, Best: 0.062390dB
Iteration 186, Objective: 0.062246dB, Best: 0.062246dB
Iteration 187, Objective: 0.061827dB, Best: 0.061827dB
Iteration 188, Objective: 0.061497dB, Best: 0.061497dB
Iteration 189, Objective: 0.061239dB, Best: 0.061239dB
Iteration 190, Objective: 0.061147dB, Best: 0.061147dB
Iteration 191, Objective: 0.060928dB, Best: 0.060928dB
Iteration 192, Objective: 0.060852dB, Best: 0.060852dB
Iteration 193, Objective: 0.060779dB, Best: 0.060779dB
Iteration 194, Objective: 0.060664dB, Best: 0.060664dB
Iteration 195, Objective: 0.060615dB, Best: 0.060615dB
Iteration 196, Objective: 0.060385dB, Best: 0.060385dB
Iteration 197, Objective: 0.060330dB, Best: 0.060330dB
Iteration 198, Objective: 0.060251dB, Best: 0.060251dB
Iteration 199, Objective: 0.060206dB, Best: 0.060206dB
Iteration 200, Objective: 0.060134dB, Best: 0.060134dB
Iteration 201, Objective: 0.059950dB, Best: 0.059950dB
Iteration 202, Objective: 0.059828dB, Best: 0.059828dB
Iteration 203, Objective: 0.059757dB, Best: 0.059757dB
Iteration 204, Objective: 0.059664dB, Best: 0.059664dB
Iteration 205, Objective: 0.059605dB, Best: 0.059605dB
Iteration 206, Objective: 0.059500dB, Best: 0.059500dB
Iteration 207, Objective: 0.059445dB, Best: 0.059445dB
Iteration 208, Objective: 0.059372dB, Best: 0.059372dB
Iteration 209, Objective: 0.059307dB, Best: 0.059307dB
Iteration 210, Objective: 0.059281dB, Best: 0.059281dB
Iteration 211, Objective: 0.059235dB, Best: 0.059235dB
Iteration 212, Objective: 0.059164dB, Best: 0.059164dB
Iteration 213, Objective: 0.059102dB, Best: 0.059102dB
Iteration 214, Objective: 0.059088dB, Best: 0.059088dB
Iteration 215, Objective: 0.058988dB, Best: 0.058988dB
Iteration 216, Objective: 0.058968dB, Best: 0.058968dB
Iteration 217, Objective: 0.058852dB, Best: 0.058852dB
Iteration 218, Objective: 0.058757dB, Best: 0.058757dB
Iteration 219, Objective: 0.058692dB, Best: 0.058692dB
Iteration 220, Objective: 0.058631dB, Best: 0.058631dB
Iteration 221, Objective: 0.058574dB, Best: 0.058574dB
Iteration 222, Objective: 0.058529dB, Best: 0.058529dB
Iteration 223, Objective: 0.058483dB, Best: 0.058483dB
Iteration 224, Objective: 0.058433dB, Best: 0.058433dB
Iteration 225, Objective: 0.058318dB, Best: 0.058318dB
Iteration 226, Objective: 0.058184dB, Best: 0.058184dB
Iteration 227, Objective: 0.058045dB, Best: 0.058045dB
Iteration 228, Objective: 0.057954dB, Best: 0.057954dB
Iteration 229, Objective: 0.057895dB, Best: 0.057895dB
Iteration 230, Objective: 0.057817dB, Best: 0.057817dB
Iteration 231, Objective: 0.057749dB, Best: 0.057749dB
Iteration 232, Objective: 0.057728dB, Best: 0.057728dB
Iteration 233, Objective: 0.057595dB, Best: 0.057595dB
Iteration 234, Objective: 0.057533dB, Best: 0.057533dB
Iteration 235, Objective: 0.057485dB, Best: 0.057485dB
Iteration 236, Objective: 0.057463dB, Best: 0.057463dB
Iteration 237, Objective: 0.057440dB, Best: 0.057440dB
Iteration 238, Objective: 0.057411dB, Best: 0.057411dB
Iteration 239, Objective: 0.057362dB, Best: 0.057362dB
Iteration 240, Objective: 0.057330dB, Best: 0.057330dB
Iteration 241, Objective: 0.057253dB, Best: 0.057253dB
Iteration 242, Objective: 0.057190dB, Best: 0.057190dB
Iteration 243, Objective: 0.057080dB, Best: 0.057080dB
Iteration 244, Objective: 0.057012dB, Best: 0.057012dB
Iteration 245, Objective: 0.056983dB, Best: 0.056983dB
Iteration 246, Objective: 0.056956dB, Best: 0.056956dB
Iteration 247, Objective: 0.056896dB, Best: 0.056896dB
Iteration 248, Objective: 0.056869dB, Best: 0.056869dB
Iteration 249, Objective: 0.056784dB, Best: 0.056784dB
Iteration 250, Objective: 0.056750dB, Best: 0.056750dB
Iteration 251, Objective: 0.056746dB, Best: 0.056746dB
Iteration 252, Objective: 0.056711dB, Best: 0.056711dB
Iteration 253, Objective: 0.056671dB, Best: 0.056671dB
Iteration 254, Objective: 0.056653dB, Best: 0.056653dB
Iteration 255, Objective: 0.056635dB, Best: 0.056635dB
Iteration 256, Objective: 0.056631dB, Best: 0.056631dB
Iteration 257, Objective: 0.056599dB, Best: 0.056599dB
Iteration 258, Objective: 0.056588dB, Best: 0.056588dB
Iteration 259, Objective: 0.056561dB, Best: 0.056561dB
Iteration 260, Objective: 0.056527dB, Best: 0.056527dB
Iteration 261, Objective: 0.056510dB, Best: 0.056510dB
Iteration 262, Objective: 0.056498dB, Best: 0.056498dB
Iteration 263, Objective: 0.056488dB, Best: 0.056488dB
Iteration 264, Objective: 0.056470dB, Best: 0.056470dB
Iteration 265, Objective: 0.056455dB, Best: 0.056455dB
Iteration 266, Objective: 0.056439dB, Best: 0.056439dB
Iteration 267, Objective: 0.056422dB, Best: 0.056422dB
Iteration 268, Objective: 0.056395dB, Best: 0.056395dB
Iteration 269, Objective: 0.056363dB, Best: 0.056363dB
Iteration 270, Objective: 0.056344dB, Best: 0.056344dB
Iteration 271, Objective: 0.056331dB, Best: 0.056331dB
Iteration 272, Objective: 0.056302dB, Best: 0.056302dB
Iteration 273, Objective: 0.056299dB, Best: 0.056299dB
Iteration 274, Objective: 0.056238dB, Best: 0.056238dB
Iteration 275, Objective: 0.056186dB, Best: 0.056186dB
Iteration 276, Objective: 0.056169dB, Best: 0.056169dB
Iteration 277, Objective: 0.056149dB, Best: 0.056149dB
Iteration 278, Objective: 0.056124dB, Best: 0.056124dB
Iteration 279, Objective: 0.056106dB, Best: 0.056106dB
Iteration 280, Objective: 0.056095dB, Best: 0.056095dB
Iteration 281, Objective: 0.056078dB, Best: 0.056078dB
Iteration 282, Objective: 0.056055dB, Best: 0.056055dB
Iteration 283, Objective: 0.056044dB, Best: 0.056044dB
Iteration 284, Objective: 0.056023dB, Best: 0.056023dB
Iteration 285, Objective: 0.055988dB, Best: 0.055988dB
Iteration 286, Objective: 0.055964dB, Best: 0.055964dB
Iteration 287, Objective: 0.055940dB, Best: 0.055940dB
Iteration 288, Objective: 0.055898dB, Best: 0.055898dB
Iteration 289, Objective: 0.055864dB, Best: 0.055864dB
Iteration 290, Objective: 0.055787dB, Best: 0.055787dB
Iteration 291, Objective: 0.055712dB, Best: 0.055712dB
Iteration 292, Objective: 0.055675dB, Best: 0.055675dB
Iteration 293, Objective: 0.055633dB, Best: 0.055633dB
Iteration 294, Objective: 0.055596dB, Best: 0.055596dB
Iteration 295, Objective: 0.055565dB, Best: 0.055565dB
Iteration 296, Objective: 0.055514dB, Best: 0.055514dB
Iteration 297, Objective: 0.055467dB, Best: 0.055467dB
Iteration 298, Objective: 0.055385dB, Best: 0.055385dB
Iteration 299, Objective: 0.055341dB, Best: 0.055341dB
Iteration 300, Objective: 0.055264dB, Best: 0.055264dB
Iteration 301, Objective: 0.055202dB, Best: 0.055202dB
Iteration 302, Objective: 0.055163dB, Best: 0.055163dB
Iteration 303, Objective: 0.054996dB, Best: 0.054996dB
Iteration 304, Objective: 0.054994dB, Best: 0.054994dB
Iteration 305, Objective: 0.054931dB, Best: 0.054931dB
Iteration 306, Objective: 0.054898dB, Best: 0.054898dB
Iteration 307, Objective: 0.054863dB, Best: 0.054863dB
Iteration 308, Objective: 0.054845dB, Best: 0.054845dB
Iteration 309, Objective: 0.054736dB, Best: 0.054736dB
Iteration 310, Objective: 0.054699dB, Best: 0.054699dB
Iteration 311, Objective: 0.054511dB, Best: 0.054511dB
Iteration 312, Objective: 0.054491dB, Best: 0.054491dB
Iteration 313, Objective: 0.054446dB, Best: 0.054446dB
Iteration 314, Objective: 0.054387dB, Best: 0.054387dB
Iteration 315, Objective: 0.054342dB, Best: 0.054342dB
Iteration 316, Objective: 0.054314dB, Best: 0.054314dB
Iteration 317, Objective: 0.054217dB, Best: 0.054217dB
Iteration 318, Objective: 0.054152dB, Best: 0.054152dB
Iteration 319, Objective: 0.054100dB, Best: 0.054100dB
Iteration 320, Objective: 0.054068dB, Best: 0.054068dB
Iteration 321, Objective: 0.053978dB, Best: 0.053978dB
Iteration 322, Objective: 0.053904dB, Best: 0.053904dB
Iteration 323, Objective: 0.053838dB, Best: 0.053838dB
Iteration 324, Objective: 0.053717dB, Best: 0.053717dB
Iteration 325, Objective: 0.053593dB, Best: 0.053593dB
Iteration 326, Objective: 0.053488dB, Best: 0.053488dB
Iteration 327, Objective: 0.053442dB, Best: 0.053442dB
Iteration 328, Objective: 0.053367dB, Best: 0.053367dB
Iteration 329, Objective: 0.053321dB, Best: 0.053321dB
Iteration 330, Objective: 0.053238dB, Best: 0.053238dB
Iteration 331, Objective: 0.053169dB, Best: 0.053169dB
Iteration 332, Objective: 0.053128dB, Best: 0.053128dB
Iteration 333, Objective: 0.052993dB, Best: 0.052993dB
Iteration 334, Objective: 0.052885dB, Best: 0.052885dB
Iteration 335, Objective: 0.052794dB, Best: 0.052794dB
Iteration 336, Objective: 0.052781dB, Best: 0.052781dB
Iteration 337, Objective: 0.052551dB, Best: 0.052551dB
Iteration 338, Objective: 0.052501dB, Best: 0.052501dB
Iteration 339, Objective: 0.052409dB, Best: 0.052409dB
Iteration 340, Objective: 0.052314dB, Best: 0.052314dB
Iteration 341, Objective: 0.052208dB, Best: 0.052208dB
Iteration 342, Objective: 0.052143dB, Best: 0.052143dB
Iteration 343, Objective: 0.052117dB, Best: 0.052117dB
Iteration 344, Objective: 0.052053dB, Best: 0.052053dB
Iteration 345, Objective: 0.051985dB, Best: 0.051985dB
Iteration 346, Objective: 0.051935dB, Best: 0.051935dB
Iteration 347, Objective: 0.051852dB, Best: 0.051852dB
Iteration 348, Objective: 0.051846dB, Best: 0.051846dB
Iteration 349, Objective: 0.051792dB, Best: 0.051792dB
Iteration 350, Objective: 0.051734dB, Best: 0.051734dB
Iteration 351, Objective: 0.051696dB, Best: 0.051696dB
Iteration 352, Objective: 0.051669dB, Best: 0.051669dB
Iteration 353, Objective: 0.051633dB, Best: 0.051633dB
Iteration 354, Objective: 0.051585dB, Best: 0.051585dB
Iteration 355, Objective: 0.051526dB, Best: 0.051526dB
Iteration 356, Objective: 0.051515dB, Best: 0.051515dB
Iteration 357, Objective: 0.051451dB, Best: 0.051451dB
Iteration 358, Objective: 0.051398dB, Best: 0.051398dB
Iteration 359, Objective: 0.051382dB, Best: 0.051382dB
Iteration 360, Objective: 0.051340dB, Best: 0.051340dB
Iteration 361, Objective: 0.051318dB, Best: 0.051318dB
Iteration 362, Objective: 0.051272dB, Best: 0.051272dB
Iteration 363, Objective: 0.051247dB, Best: 0.051247dB
Iteration 364, Objective: 0.051239dB, Best: 0.051239dB
Iteration 365, Objective: 0.051219dB, Best: 0.051219dB
Iteration 366, Objective: 0.051171dB, Best: 0.051171dB
Iteration 367, Objective: 0.051127dB, Best: 0.051127dB
Iteration 368, Objective: 0.051096dB, Best: 0.051096dB
Iteration 369, Objective: 0.051038dB, Best: 0.051038dB
Iteration 370, Objective: 0.051015dB, Best: 0.051015dB
Iteration 371, Objective: 0.050979dB, Best: 0.050979dB
Iteration 372, Objective: 0.050945dB, Best: 0.050945dB
Iteration 373, Objective: 0.050895dB, Best: 0.050895dB
Iteration 374, Objective: 0.050867dB, Best: 0.050867dB
Iteration 375, Objective: 0.050840dB, Best: 0.050840dB
Iteration 376, Objective: 0.050829dB, Best: 0.050829dB
Iteration 377, Objective: 0.050814dB, Best: 0.050814dB
Iteration 378, Objective: 0.050774dB, Best: 0.050774dB
Iteration 379, Objective: 0.050754dB, Best: 0.050754dB
Iteration 380, Objective: 0.050718dB, Best: 0.050718dB
Iteration 381, Objective: 0.050657dB, Best: 0.050657dB
Iteration 382, Objective: 0.050579dB, Best: 0.050579dB
Iteration 383, Objective: 0.050540dB, Best: 0.050540dB
Iteration 384, Objective: 0.050535dB, Best: 0.050535dB
Iteration 385, Objective: 0.050433dB, Best: 0.050433dB
Iteration 386, Objective: 0.050370dB, Best: 0.050370dB
Iteration 387, Objective: 0.050264dB, Best: 0.050264dB
Iteration 388, Objective: 0.050237dB, Best: 0.050237dB
Iteration 389, Objective: 0.050175dB, Best: 0.050175dB
Iteration 390, Objective: 0.050136dB, Best: 0.050136dB
Iteration 391, Objective: 0.050045dB, Best: 0.050045dB
Iteration 392, Objective: 0.050023dB, Best: 0.050023dB
Iteration 393, Objective: 0.049987dB, Best: 0.049987dB
Iteration 394, Objective: 0.049968dB, Best: 0.049968dB
Iteration 395, Objective: 0.049942dB, Best: 0.049942dB
Iteration 396, Objective: 0.049892dB, Best: 0.049892dB
Iteration 397, Objective: 0.049859dB, Best: 0.049859dB
Iteration 398, Objective: 0.049827dB, Best: 0.049827dB
